Unnamed: 0,Unnamed: 0.1,ALAND,AWATER,BLKGRPCE,COUNTYFP,E11B19001e1,E11B19001e10,E11B19001e11,E11B19001e12,E11B19001e13,E11B19001e14,E11B19001e15,E11B19001e16,E11B19001e17,E11B19001e2,E11B19001e3,E11B19001e4,E11B19001e5,E11B19001e6,E11B19001e7,E11B19001e8,E11B19001e9,E11B19013e1,E11B19025e1,E11B19055e2,E11B19059e2,E12B19113e1,E12B20002e1,E12B20002e2,E12B20002e3,E13B19101e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE,H07B25003e2,H07B25003e3,H18B25081e1,H18B25081e2,H18B25081e4,H18B25081e5,H18B25081e6,H18B25081e7,H18B25081e8,H18B25082e1,H18B25082e2,H18B25082e3,D01B01001e1,D01B01001e10,D01B01001e11,D01B01001e12,D01B01001e13,D01B01001e14,D01B01001e15,D01B01001e16,D01B01001e17,D01B01001e18,D01B01001e19,D01B01001e2,D01B01001e20,D01B01001e21,D01B01001e22,D01B01001e23,D01B01001e24,D01B01001e25,D01B01001e26,D01B01001e31,D01B01001e32,D01B01001e33,D01B01001e34,D01B01001e35,D01B01001e36,D01B01001e37,D01B01001e38,D01B01001e39,D01B01001e40,D01B01001e41,D01B01001e42,D01B01001e43,D01B01001e44,D01B01001e45,D01B01001e46,D01B01001e47,D01B01001e48,D01B01001e49,D01B01001e7,D01B01001e8,D01B01001e9,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,S01B11001e1,S02B09019e2,S07B15003e15,S07B15003e16,S07B15003e17,S07B15003e18,S07B15003e19,S07B15003e20,S07B15003e21,S07B15003e22,S07B15003e23,S07B15003e24,S07B15003e25,S08B21001e1,S08B21001e2,S19B28008e10,S19B28008e2,S19B28008e4,S19B28008e9,Voter_Turnout
23,23,715930,0,2,59,1055,31,88,212,155,111,67,78,21,34,22,69,56,0,62,23,26,66793.0,80623200,313,144,70670.0,40171.0,42365.0,32146.0,513,S,60590636042,15000US060590636042,33.6386121,-117.9396628,G5030,Block Group 2,1221,6,1035578.00390625,4264.05311608819,63604,530,525,530,234,41,21,0,172,296,164116000.0,127021000.0,37095000.0,2708,86,128,113,154,28,139,69,101,28,84,1423,91,37,95,8,8,0,1285,14,32,6,70,151,51,51,82,84,47,66,18,98,25,73,35,16,19,8,31,6,0,40.8,,,58.2,,27.5,6.4,49.8,26.3,37.8,39.6,33.1,2708,1953,11,0,168,0,484,92,2708,1055,2708,0,86,385,39,105,275,87,519,112,29,15,2148,84,164,2544,2382,26,74.5
24,24,161956,0,1,59,380,0,60,36,38,40,0,21,8,23,0,28,23,0,73,17,13,55878.0,22786400,34,8,34277.0,21339.0,22027.0,16309.0,267,S,60590636051,15000US060590636051,33.6415735,-117.9297892,G5030,Block Group 1,1222,6,234282.6875,1935.89662239452,63605,23,357,23,23,0,0,0,23,0,,,,1536,101,138,66,66,71,107,49,29,0,0,995,0,0,0,16,0,0,541,0,26,47,35,15,29,63,0,36,77,99,9,12,11,0,0,0,0,0,47,15,0,35.0,,,,,24.3,15.4,33.3,27.9,28.7,26.8,37.8,1536,747,0,0,17,0,733,39,1536,380,1536,0,16,243,49,12,86,8,84,20,0,9,1164,18,123,1413,1142,271,74.5
25,25,549540,0,2,59,577,11,16,28,61,36,55,43,59,55,0,6,73,61,53,20,0,58194.0,46735100,67,24,33292.0,30448.0,,20298.0,377,S,60590636052,15000US060590636052,33.637510299999995,-117.9252311,G5030,Block Group 2,1223,6,794877.5078125,4493.654661008661,63605,109,468,109,109,0,15,0,94,0,68810000.0,68810000.0,,1812,82,75,77,126,93,31,106,55,32,13,969,5,11,6,0,7,53,843,19,0,0,34,54,89,94,79,56,54,8,0,24,11,0,23,29,0,20,39,6,7,34.0,,,35.5,,38.8,13.4,33.3,37.2,35.7,36.8,33.2,1812,1325,36,0,47,10,339,55,1812,577,1579,13,14,235,40,76,109,120,206,108,48,0,1418,64,130,1449,1365,84,71.7
26,26,323943,0,3,59,463,43,50,31,53,30,0,5,33,7,10,31,55,42,19,27,27,48109.0,30515200,23,32,47539.0,20726.0,23556.0,12107.0,427,S,60590636053,15000US060590636053,33.636131299999995,-117.9297228,G5030,Block Group 3,1224,6,468550.32421875,2906.18393881515,63605,61,402,61,28,0,13,0,15,33,66740000.0,14375000.0,52365000.0,2135,63,129,165,127,92,74,21,42,13,14,1279,9,0,22,0,6,0,856,46,8,7,19,64,73,88,81,50,85,16,0,0,4,7,23,26,0,0,44,24,27,30.0,,,,7.7,27.6,,49.3,27.4,27.8,27.0,31.6,2135,1135,7,0,0,55,926,12,2135,463,2135,42,98,228,18,37,98,29,105,13,0,0,1469,6,323,1812,1607,205,71.7
27,27,217142,0,1,59,291,0,7,9,67,5,0,7,21,13,76,44,12,23,0,0,7,27554.0,16589500,164,44,85326.0,22083.0,25042.0,,134,S,60590637011,15000US060590637011,33.64706470000001,-117.926244,G5030,Block Group 1,1225,6,314152.71875,2594.81223789517,63701,77,214,77,54,0,0,0,54,23,,,,889,28,4,75,5,9,28,11,15,0,7,365,0,12,23,0,12,0,524,34,0,0,3,23,11,31,23,60,17,33,14,0,12,40,58,42,12,9,26,43,0,40.9,,,73.2,,19.6,,60.5,34.4,39.8,30.8,47.3,889,680,5,0,46,0,144,14,889,291,889,52,7,72,5,27,63,35,71,31,0,10,720,7,193,696,677,19,68.8
28,28,161131,0,3,59,460,7,22,11,113,9,29,16,16,34,96,7,0,23,25,0,52,44573.0,29178100,38,7,43043.0,25148.0,25739.0,19095.0,284,S,60590637013,15000US060590637013,33.65161629999999,-117.9234155,G5030,Block Group 3,1226,6,233141.90625,2417.41164755492,63701,50,410,50,39,0,7,0,32,11,,,,1738,16,150,58,25,19,73,34,55,0,0,933,16,0,0,0,0,19,805,47,0,26,67,136,107,63,24,89,4,47,18,0,16,0,0,0,12,0,8,5,28,28.9,,,56.7,,18.8,,28.9,21.9,27.0,21.9,29.6,1738,691,0,0,70,0,953,24,1738,460,1738,24,18,145,32,22,117,57,131,18,15,0,1162,19,225,1513,1372,141,68.8
29,29,241164,0,4,59,460,24,113,19,64,67,0,36,0,13,0,12,26,0,42,28,16,53821.0,31101700,59,33,54481.0,24974.0,27335.0,22860.0,404,S,60590637014,15000US060590637014,33.64973079999999,-117.92990220000002,G5030,Block Group 4,1227,6,348927.734375,2418.15694901507,63701,90,370,90,32,0,14,0,18,58,,,,1949,62,93,74,49,56,48,39,22,0,0,807,18,0,30,0,0,0,1142,0,0,28,64,155,124,79,69,57,42,12,29,42,0,54,35,0,0,12,13,20,0,30.4,13.5,,,,27.2,28.4,36.4,26.8,28.3,27.9,29.2,1949,960,49,0,38,0,789,113,1949,460,1949,26,18,312,18,82,142,14,124,31,0,0,1326,14,204,1745,1745,0,72.7
30,30,367145,0,1,59,423,41,47,46,45,18,12,65,35,23,12,18,0,12,16,33,0,64327.0,37194500,23,12,79565.0,34240.0,51667.0,,234,S,60590637021,15000US060590637021,33.6507555,-117.9142435,G5030,Block Group 1,1228,6,531216.77734375,3206.04848558277,63702,68,355,68,60,0,0,0,60,8,,,,1154,19,40,58,54,60,45,72,10,33,23,600,19,11,0,0,0,12,554,0,0,27,32,48,91,26,62,64,21,30,0,10,0,0,0,0,0,12,0,0,0,35.3,,,44.4,,45.2,13.4,38.5,29.5,34.4,36.8,31.5,1154,739,10,0,125,0,148,132,1154,423,1066,10,27,61,0,23,187,20,179,40,17,0,879,31,12,1054,857,197,71.5
31,31,303512,0,3,59,416,0,51,32,15,28,7,31,79,25,12,21,0,48,56,0,11,59216.0,37146000,64,34,,50417.0,58529.0,41250.0,216,S,60590637023,15000US060590637023,33.646128000000004,-117.91665249999998,G5030,Block Group 3,1229,6,439101.39453125,3021.46596102601,63702,154,262,154,90,0,0,0,90,64,70795000.0,67220000.0,3575000.0,1089,63,133,44,32,0,83,49,19,0,7,689,0,0,0,33,41,19,400,0,0,8,15,85,55,0,18,6,24,0,0,0,0,0,73,0,0,0,0,0,0,29.7,,,,,14.5,72.2,29.8,22.7,29.6,29.6,29.5,1089,677,27,0,7,0,271,107,1089,416,1089,0,30,0,0,18,151,31,226,88,130,7,807,55,7,1082,843,224,75.8
32,32,216099,0,4,59,510,0,62,108,36,19,39,25,44,10,0,12,29,45,36,11,34,61290.0,39623800,108,21,61129.0,22787.0,25542.0,22330.0,414,S,60590637024,15000US060590637024,33.6470785,-117.9233509,G5030,Block Group 4,1230,6,312644.35546875,2587.5525635441,63702,191,319,191,171,12,33,0,126,20,,,,2180,56,10,24,9,120,204,36,40,0,0,1215,20,0,66,11,0,0,965,36,0,37,33,67,53,91,40,167,45,65,0,74,0,0,38,12,0,0,23,15,32,30.3,,,,,33.0,22.3,41.0,22.9,31.5,21.6,38.9,2180,1494,0,24,25,0,503,134,2180,510,2180,26,13,225,0,0,16,19,263,57,31,22,1424,0,97,2083,2071,12,73.2
33,33,581047,0,1,59,571,43,18,29,55,38,73,78,58,17,8,0,28,0,30,73,23,76587.0,61430100,178,97,60132.0,39679.0,39607.0,40054.0,418,S,60590638021,15000US060590638021,33.676986,-117.9233225,G5030,Block Group 1,1231,6,841216.1171875,3553.9858751046504,63802,318,253,318,225,0,36,0,189,93,222495000.0,159245000.0,63250000.0,1698,34,34,52,86,19,99,34,53,0,12,756,6,17,16,17,16,28,942,0,52,0,44,97,24,40,49,82,11,73,53,25,8,34,36,17,20,19,33,48,0,37.1,36.7,,52.8,,5.8,41.6,47.2,22.8,36.0,36.4,34.5,1698,1391,38,35,77,0,49,108,1698,571,1691,0,8,234,28,63,145,154,241,68,34,14,1227,87,119,1572,1408,139,83.3
34,34,646174,0,2,59,458,9,0,25,57,58,49,99,99,0,8,0,0,9,19,10,16,126452.0,86452300,280,138,126290.0,66250.0,72647.0,42308.0,346,S,60590638022,15000US060590638022,33.6758714,-117.9312877,G5030,Block Group 2,1232,6,935478.578125,3845.546343706621,63802,442,16,442,299,0,45,11,243,143,384473900.0,284366700.0,100107200.0,1220,19,56,39,51,27,25,49,39,32,38,599,0,2,72,8,16,42,621,0,19,0,0,10,37,26,32,78,20,39,13,53,7,56,9,85,39,39,0,0,0,56.3,,,44.9,,,9.7,56.4,15.9,54.3,49.7,57.1,1220,1096,10,0,48,0,7,59,1220,458,1208,0,0,92,50,76,159,98,355,117,49,34,1077,84,17,1191,1191,0,87.6
35,35,423643,0,1,59,319,8,24,19,29,50,5,46,76,9,19,0,0,0,0,8,26,108542.0,47252600,120,61,129250.0,54926.0,64886.0,53382.0,247,S,60590638031,15000US060590638031,33.6702081,-117.9412986,G5030,Block Group 1,1233,6,613233.4921875,3804.199778877,63803,310,9,310,247,0,66,0,181,63,326520000.0,205420000.0,121100000.0,905,0,7,10,65,34,0,62,37,21,17,450,18,8,13,21,23,0,455,14,0,0,0,10,29,33,12,57,15,12,19,16,29,0,7,53,0,0,22,0,0,41.4,,,42.8,,,,39.8,48.1,41.9,44.6,38.7,905,840,0,0,56,0,0,9,905,319,905,0,0,90,0,32,75,59,269,70,23,0,664,37,0,905,905,0,86.6
36,36,1651865,0,2,59,449,31,46,0,58,69,37,87,55,38,0,0,9,11,0,0,8,104850.0,50729600,75,60,112500.0,64153.0,75547.0,43824.0,180,S,60590638032,15000US060590638032,33.6603343,-117.94295359999998,G5030,Block Group 2,1234,6,2390575.25,7871.43993996206,63803,204,245,204,188,17,11,0,160,16,,,,930,12,66,30,86,84,29,41,47,9,0,526,12,28,25,14,0,0,404,0,0,0,0,17,88,47,33,36,7,52,17,7,0,8,33,7,0,10,0,0,0,44.0,,,38.6,,43.2,35.2,44.2,43.2,42.7,43.7,40.7,930,747,7,0,78,0,55,43,930,449,930,0,6,67,39,60,247,33,254,60,42,25,845,49,37,893,893,0,85.0
37,37,197192,0,3,59,476,9,28,64,70,104,10,78,24,9,0,24,21,0,9,18,8,89551.0,46568300,35,87,111458.0,35365.0,21650.0,50643.0,245,S,60590638033,15000US060590638033,33.6539211,-117.9430753,G5030,Block Group 3,1235,6,285333.76953125,2370.80714975405,63803,150,326,150,124,0,27,0,97,26,70783000.0,57583000.0,13200000.0,1303,70,102,42,79,40,33,8,55,8,33,716,0,0,8,0,0,0,587,0,0,24,32,89,70,27,34,72,18,76,32,9,16,8,0,0,0,0,0,0,30,29.9,,23.6,30.7,,,32.5,35.4,27.2,30.3,25.9,33.8,1303,1087,21,29,51,0,26,89,1303,476,1248,0,10,161,72,39,158,100,199,49,9,9,1015,0,8,1240,1231,9,74.5
38,38,400260,0,4,59,432,0,46,18,25,85,0,54,76,26,32,0,9,16,7,0,38,92143.0,46870800,147,93,102111.0,33224.0,28750.0,50417.0,326,S,60590638034,15000US060590638034,33.6549214,-117.9360639,G5030,Block Group 4,1236,6,579187.3203125,3171.83226423339,63803,275,157,275,221,0,29,20,172,54,183871900.0,157464000.0,26407900.0,1469,48,55,35,107,7,17,79,137,16,14,772,0,7,21,10,24,18,697,0,21,0,14,58,51,61,16,67,19,80,44,7,34,6,29,60,8,0,0,25,12,49.4,,,37.7,53.9,31.3,,50.9,35.7,37.2,36.7,46.5,1469,938,0,21,55,52,363,40,1469,432,1469,20,11,228,27,41,185,86,139,52,0,20,1207,9,69,1400,1400,0,74.5
39,39,590016,0,1,59,429,18,14,22,69,104,37,51,48,5,0,29,0,18,0,9,5,106607.0,48452300,131,66,103654.0,49688.0,54922.0,38393.0,300,S,60590638051,15000US060590638051,33.691207500000004,-117.929501,G5030,Block Group 1,1237,6,854466.94921875,6411.0686665924595,63805,307,122,307,260,13,30,0,217,47,179242000.0,155892000.0,23350000.0,1317,25,37,54,57,18,48,67,59,11,9,625,0,46,30,0,0,0,692,6,0,0,49,57,107,95,20,38,36,36,21,10,29,30,11,8,0,9,12,9,9,38.0,,,34.9,,32.7,10.5,38.9,32.3,36.9,38.2,34.4,1317,1071,0,0,99,0,129,18,1317,429,1310,36,4,91,13,52,183,88,316,61,10,0,1053,38,25,1285,1212,73,86.2
40,40,416469,0,2,59,456,5,24,50,37,0,31,76,118,18,15,41,8,5,14,14,0,91250.0,67187100,162,74,152868.0,73447.0,84792.0,62794.0,347,S,60590638052,15000US060590638052,33.688946200000004,-117.9317405,G5030,Block Group 2,1264,6,603114.36328125,3471.8669992653804,63805,368,88,368,247,5,61,5,176,121,259600000.0,181950000.0,77650000.0,1326,21,7,21,37,29,73,62,41,10,30,627,13,5,10,25,20,19,699,5,33,0,17,24,32,81,19,53,37,79,19,38,20,12,20,26,51,11,14,12,7,47.0,,,41.5,,40.6,7.2,48.4,35.3,45.4,42.5,46.7,1326,1066,0,0,84,0,136,40,1326,456,1316,5,15,149,8,43,133,63,259,135,39,15,1033,106,15,1301,1208,93,86.8
41,41,387616,0,1,59,453,0,44,35,63,10,53,17,49,14,30,0,10,30,9,32,57,60125.0,41575900,65,48,74432.0,31404.0,30402.0,32162.0,259,S,60590638061,15000US060590638061,33.6840318,-117.9224677,G5030,Block Group 1,1265,6,561266.12109375,3255.3841990339397,63806,63,390,63,46,0,8,9,29,17,,,,1385,48,17,53,138,20,108,31,32,0,23,660,0,0,0,18,0,0,725,0,22,0,0,101,49,61,78,33,22,10,0,66,0,0,0,20,10,0,0,0,0,34.2,8.8,,39.1,,35.9,6.5,34.9,31.1,34.2,36.2,26.6,1385,1024,100,0,45,12,119,85,1385,453,1385,7,10,138,37,30,167,53,170,65,34,22,960,58,29,1356,1150,82,78.6
42,42,441058,0,2,59,399,8,28,9,42,34,59,97,70,0,0,18,0,0,7,10,17,142740.0,57057800,116,49,142933.0,68214.0,71667.0,63833.0,297,S,60590638062,15000US060590638062,33.6832195,-117.9282505,G5030,Block Group 2,1266,6,638638.30078125,3971.7630326580897,63806,373,26,373,279,0,20,0,259,94,285435000.0,219720000.0,65715000.0,1182,9,13,52,59,70,58,72,24,11,18,679,0,9,0,0,20,26,503,10,0,0,10,11,32,43,28,80,47,50,12,9,0,10,10,9,31,18,65,0,19,43.4,,,45.0,,,21.2,44.3,37.3,42.1,35.9,46.3,1182,956,0,0,136,0,10,80,1182,399,1182,0,13,132,0,66,76,58,230,190,57,0,935,55,26,1156,1135,21,91.3
43,43,1365937,0,3,59,556,9,8,60,71,59,43,41,192,8,6,0,0,18,10,12,19,124500.0,113727000,270,157,155000.0,62500.0,94306.0,,420,S,60590638063,15000US060590638063,33.6799479,-117.9379014,G5030,Block Group 3,1267,6,1977681.91796875,6589.63398157803,63806,484,72,484,319,0,81,0,238,165,553669000.0,377499000.0,176170000.0,1364,0,38,13,22,55,14,98,43,0,7,717,39,28,56,11,39,45,647,0,0,0,0,64,13,36,56,19,90,8,13,37,34,33,19,48,31,47,13,0,0,51.7,,,46.5,,,13.5,52.8,43.5,51.3,50.4,53.1,1364,1216,0,0,52,0,21,75,1364,556,1345,0,0,129,0,23,161,65,526,104,17,31,1069,146,39,1306,1273,33,92.3
44,44,1923760,0,2,59,857,0,68,90,64,70,16,17,57,95,44,72,75,7,58,60,64,41094.0,54580600,217,118,52125.0,23764.0,16023.0,40234.0,519,S,60590638072,15000US060590638072,33.6637062,-117.9280572,G5030,Block Group 2,1268,6,2784290.09765625,6803.60986512647,63807,40,817,40,6,0,0,0,6,34,,,,2204,56,124,80,11,80,44,73,63,20,46,1110,0,12,0,37,0,19,1094,0,0,17,55,157,34,42,86,72,33,52,86,15,36,0,29,6,28,60,65,80,0,27.4,54.1,,45.0,,,20.2,40.8,20.0,29.1,27.4,33.9,2204,1526,166,0,325,0,57,130,2204,857,2136,19,138,377,17,37,395,9,195,21,26,0,1618,122,88,2048,1859,189,76.7
45,45,1142855,0,1,59,1873,14,94,192,381,224,194,310,183,120,12,30,0,13,13,68,25,95945.0,206421900,105,66,101887.0,63014.0,70824.0,57922.0,688,S,60590639071,15000US060590639071,33.690819299999994,-117.87742,G5030,Block Group 1,1269,6,1655099.4140625,5479.3759120256,63907,13,1860,13,13,0,0,0,13,0,,,,3383,31,319,465,255,81,56,28,78,0,12,1583,0,25,80,0,0,0,1800,30,69,0,120,353,448,163,104,41,101,169,13,39,13,0,0,0,0,17,11,0,14,32.5,36.2,,31.5,33.7,30.1,31.7,32.5,29.9,32.3,33.0,32.2,3383,1680,310,0,1057,50,179,107,3383,1873,3383,0,0,146,12,56,315,184,1419,423,240,14,3135,165,0,3383,3337,46,76.4
46,46,541192,0,1,59,364,0,43,70,6,14,16,79,54,21,0,22,19,10,0,0,10,67255.0,38039800,109,36,,52596.0,65387.0,,314,S,60590639081,15000US060590639081,33.685073100000004,-117.8910791,G5030,Block Group 1,1270,6,783660.58203125,4007.8363714870397,63908,320,44,320,202,0,0,0,202,118,214720000.0,135520000.0,79200000.0,1330,39,0,69,38,74,24,59,34,13,0,651,0,11,21,24,10,0,679,1,0,14,10,26,72,25,53,41,11,56,23,0,0,37,53,21,28,18,44,33,23,38.5,,,34.1,,17.9,15.8,56.0,17.8,35.7,34.3,41.0,1330,744,0,12,400,0,66,108,1330,364,1303,0,18,176,13,39,89,69,307,85,31,0,1005,57,23,1280,1198,82,82.7
47,47,560674,0,2,59,704,75,32,61,106,152,43,122,21,0,0,23,0,42,8,19,0,91439.0,67640600,62,25,90038.0,49286.0,74489.0,40089.0,339,S,60590639082,15000US060590639082,33.684963700000004,-117.8799871,G5030,Block Group 2,1271,6,811871.5078125,4017.30023068877,63908,328,376,328,301,6,0,0,295,27,194415000.0,175065000.0,19350000.0,1622,0,63,39,80,36,59,152,31,22,0,744,22,19,77,6,46,0,878,0,21,59,13,59,50,50,26,96,128,122,42,8,0,1,26,44,0,16,28,0,19,49.3,49.5,,52.3,,34.5,,47.2,52.5,49.4,50.1,49.2,1622,857,177,0,465,0,91,32,1622,704,1619,0,19,218,39,38,302,41,387,90,12,0,1460,35,0,1619,1514,105,79.4
48,48,3107345,0,2,59,986,39,105,96,80,96,53,145,151,132,49,14,13,0,0,13,0,92736.0,108161000,294,216,113606.0,61154.0,66250.0,56364.0,695,S,60590639072,15000US060590639072,33.6937673,-117.91593290000002,G5030,Block Group 2,1351,6,4500422.8203125,12677.4063692662,63907,626,360,626,401,0,44,15,342,225,451242000.0,278555000.0,172687000.0,2481,10,163,49,75,43,35,128,98,0,138,1105,54,54,42,14,13,38,1376,0,0,0,68,174,114,87,15,28,101,121,43,74,55,28,54,27,0,25,0,47,34,50.1,20.6,,34.1,52.7,,13.6,56.6,27.2,39.1,50.8,33.5,2481,1342,65,21,880,123,12,38,2481,986,2473,0,0,113,0,113,258,131,785,215,87,92,2049,120,59,2414,2335,79,81.3
