Unnamed: 0,Unnamed: 0.1,ALAND,AWATER,BLKGRPCE,COUNTYFP,E11B19001e1,E11B19001e10,E11B19001e11,E11B19001e12,E11B19001e13,E11B19001e14,E11B19001e15,E11B19001e16,E11B19001e17,E11B19001e2,E11B19001e3,E11B19001e4,E11B19001e5,E11B19001e6,E11B19001e7,E11B19001e8,E11B19001e9,E11B19013e1,E11B19025e1,E11B19055e2,E11B19059e2,E12B19113e1,E12B20002e1,E12B20002e2,E12B20002e3,E13B19101e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE,H07B25003e2,H07B25003e3,H18B25081e1,H18B25081e2,H18B25081e4,H18B25081e5,H18B25081e6,H18B25081e7,H18B25081e8,H18B25082e1,H18B25082e2,H18B25082e3,D01B01001e1,D01B01001e10,D01B01001e11,D01B01001e12,D01B01001e13,D01B01001e14,D01B01001e15,D01B01001e16,D01B01001e17,D01B01001e18,D01B01001e19,D01B01001e2,D01B01001e20,D01B01001e21,D01B01001e22,D01B01001e23,D01B01001e24,D01B01001e25,D01B01001e26,D01B01001e31,D01B01001e32,D01B01001e33,D01B01001e34,D01B01001e35,D01B01001e36,D01B01001e37,D01B01001e38,D01B01001e39,D01B01001e40,D01B01001e41,D01B01001e42,D01B01001e43,D01B01001e44,D01B01001e45,D01B01001e46,D01B01001e47,D01B01001e48,D01B01001e49,D01B01001e7,D01B01001e8,D01B01001e9,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,S01B11001e1,S02B09019e2,S07B15003e15,S07B15003e16,S07B15003e17,S07B15003e18,S07B15003e19,S07B15003e20,S07B15003e21,S07B15003e22,S07B15003e23,S07B15003e24,S07B15003e25,S08B21001e1,S08B21001e2,S19B28008e10,S19B28008e2,S19B28008e4,S19B28008e9,Voter_Turnout
49,49,1064491,0,3,59,701,54,13,46,60,109,154,43,140,15,0,26,0,13,12,0,16,122891.0,90545300,201,130,127843.0,46612.0,63233.0,37164.0,554,S,60590639073,15000US060590639073,33.6920135,-117.8933433,G5030,Block Group 3,1352,6,1541657.9375,6156.566551278829,63907,348,353,348,254,0,73,0,181,94,236758400.0,183350000.0,53408400.0,2126,53,113,155,92,85,46,135,58,49,17,1136,33,0,0,75,0,0,990,75,0,0,0,128,158,43,26,36,122,63,33,0,14,58,0,0,63,41,0,19,19,34.7,19.0,,42.5,,27.2,,40.9,28.9,35.4,37.0,35.1,2126,1548,147,0,330,0,87,14,2126,701,2109,0,0,303,15,47,446,156,397,160,58,16,1809,90,0,2109,2004,105,77.8
50,50,316364,0,3,59,550,23,26,91,149,136,14,11,8,43,0,15,7,12,15,0,0,92708.0,44748400,109,0,70958.0,44762.0,42560.0,50547.0,144,S,60590639083,15000US060590639083,33.6801072,-117.8888648,G5030,Block Group 3,1385,6,458049.66015625,2859.0375761980104,63908,64,486,64,64,0,0,0,64,0,24350000.0,24350000.0,,1226,17,107,102,71,12,0,51,16,0,20,544,0,12,0,27,0,0,682,25,0,0,13,75,75,90,128,12,73,12,15,0,0,0,68,0,0,15,0,0,28,34.5,,,61.5,,,,34.5,31.4,35.2,32.4,38.6,1226,992,96,0,70,0,29,39,1226,550,1226,0,0,190,0,51,143,155,252,56,12,14,1064,176,55,1171,1063,108,76.8
51,51,1821129,0,1,59,409,0,22,34,57,38,69,55,62,0,8,12,0,9,16,17,10,118295.0,51685700,159,103,122159.0,36620.0,52386.0,30170.0,323,S,60590639041,15000US060590639041,33.670126700000004,-117.9008298,G5030,Block Group 1,1402,6,2636137.046875,7445.25810494394,63904,317,92,317,233,0,45,0,188,84,216445000.0,163745000.0,52700000.0,1276,46,0,55,14,55,27,56,83,17,21,656,15,26,30,18,8,0,620,67,11,12,0,12,9,19,30,111,11,69,37,12,11,22,11,41,16,35,26,21,12,48.6,,,57.6,,32.7,13.0,49.6,32.4,47.4,44.2,48.7,1276,882,23,0,231,0,100,40,1276,409,1276,13,20,77,0,51,94,104,374,99,0,0,1061,27,28,1248,1196,52,73.9
52,52,11291839,145012,2,59,4546,37,159,290,411,427,396,739,522,717,66,23,99,117,132,190,221,85488.0,510803200,362,178,121917.0,56459.0,73008.0,50233.0,1507,S,60590626102,15000US060590626102,33.669190500000006,-117.8609131,G5030,Block Group 2,1505,6,16554744.488281302,17219.065752314,62610,575,3971,575,443,0,18,0,425,132,307260000.0,246410000.0,60850000.0,8429,358,782,874,334,280,310,276,244,44,19,4417,123,18,47,19,0,0,4012,35,287,107,221,852,604,281,313,188,163,226,76,77,56,130,82,73,18,58,191,212,170,34.7,49.4,,27.4,,34.0,32.1,36.1,32.9,32.4,32.2,32.7,8429,4903,300,0,2576,0,393,257,8429,4546,8429,60,28,602,17,199,633,294,3035,1108,380,138,8148,74,132,8297,8023,274,76.7
53,53,83621,0,3,59,317,0,34,40,57,20,2,0,0,39,0,0,39,0,37,22,27,44313.0,16329100,35,15,37333.0,23805.0,25720.0,22813.0,234,S,60590639043,15000US060590639043,33.6768292,-117.8989761,G5030,Block Group 3,1511,6,121063.14453125,1482.85519600455,63904,0,317,0,0,0,0,0,0,0,,,,1377,73,58,56,0,80,34,0,18,28,7,744,0,0,14,0,0,0,633,48,22,34,44,87,12,34,74,9,39,31,51,0,15,0,20,0,0,0,65,40,0,20.8,,59.8,25.9,11.5,29.6,,23.7,23.4,23.8,20.9,29.1,1377,997,0,25,139,28,147,41,1377,317,1377,70,7,95,20,31,69,0,97,0,23,0,993,12,28,1349,1158,96,84.3
54,54,270750,0,3,59,367,0,44,9,80,61,41,61,10,0,0,28,8,7,18,0,0,96750.0,38521500,28,28,97357.0,53801.0,52917.0,54191.0,132,S,60590633013,15000US060590633013,33.6337099,-117.9194814,G5030,Block Group 3,1532,6,391590.75,2647.342789031,63301,107,260,107,96,9,0,0,87,11,,,,671,0,14,30,68,12,0,44,82,0,9,308,0,0,0,18,0,0,363,4,4,8,24,74,58,28,20,4,12,104,0,0,0,0,0,0,23,0,0,0,0,36.7,,,23.5,,,,36.7,56.2,37.9,41.9,35.9,671,538,10,0,16,23,34,50,671,367,628,10,0,138,10,16,71,36,251,58,0,0,640,7,28,600,559,0,80.2
55,55,163251,0,2,59,376,7,58,32,35,35,0,0,0,7,0,35,50,36,74,0,7,34186.0,17457800,62,24,34185.0,21858.0,24122.0,13179.0,259,S,60590637012,15000US060590637012,33.6452131,-117.929843,G5030,Block Group 2,1563,6,236173.6484375,1946.4104429880701,63701,28,348,28,18,0,0,0,18,10,,,,1375,54,101,18,110,70,33,25,31,0,0,745,19,31,0,0,7,0,630,0,0,23,55,69,31,20,73,50,33,35,18,0,0,0,7,12,0,0,25,11,27,37.3,,,,,25.2,,41.8,26.1,27.7,28.4,26.7,1375,533,0,0,20,20,802,0,1375,376,1300,0,8,148,58,24,145,47,60,0,0,0,988,32,139,1161,937,224,80.2
56,56,216124,0,5,59,321,0,30,37,62,75,0,0,0,0,0,12,13,28,55,9,0,65402.0,20918000,53,0,51333.0,27487.0,25878.0,46655.0,160,S,60590637025,15000US060590637025,33.6470989,-117.9204613,G5030,Block Group 5,1564,6,312682.125,2587.2706132222197,63702,46,275,46,21,0,0,0,21,25,,,,1140,69,20,160,93,220,10,9,19,0,0,770,12,28,13,0,0,0,370,20,0,0,0,73,29,27,58,34,0,9,0,0,0,0,0,0,0,0,9,36,0,33.6,,,23.9,,40.2,,33.4,38.0,34.1,38.1,27.5,1140,635,0,0,45,0,441,19,1140,321,1064,0,0,297,7,0,46,108,127,60,0,0,948,9,0,1064,885,179,73.2
57,57,344982,0,2,59,759,18,99,12,36,126,76,52,162,37,0,21,0,43,0,0,77,120436.0,91326300,100,151,124514.0,48909.0,42182.0,49334.0,431,S,60590631022,15000US060590631022,33.659271200000006,-117.895328,G5030,Block Group 2,1604,6,499245.81640625,3035.4136778238,63102,376,383,376,319,28,53,0,238,57,463660000.0,242360000.0,221300000.0,2265,0,26,80,153,88,38,60,113,24,8,835,17,16,36,0,23,5,1430,0,0,0,95,89,118,141,34,93,56,97,55,34,4,51,64,25,5,40,33,0,0,36.8,,7.4,55.9,,,32.3,37.6,35.6,36.5,40.2,34.6,2265,1954,4,57,52,0,26,172,2265,759,2197,0,0,191,0,75,357,104,397,221,28,54,1721,65,44,2153,2132,21,81.0
58,58,361410,0,1,59,666,56,19,58,0,56,39,105,122,120,0,0,19,0,0,19,53,,92368900,18,18,111771.0,53355.0,81389.0,31952.0,267,S,60590626101,15000US060590626101,33.676417,-117.8488101,G5030,Block Group 1,1675,6,523228.921875,2970.0816352091497,62610,343,323,343,180,0,0,0,180,163,278856900.0,132605900.0,146251000.0,1130,65,64,77,46,91,75,53,64,15,0,694,0,20,18,0,0,0,436,0,0,0,53,85,102,80,0,20,52,28,16,0,0,0,0,0,0,0,10,14,0,32.6,,,44.0,,,,32.1,36.7,35.7,36.6,34.1,1130,768,0,0,362,0,0,0,1130,666,1130,0,19,73,0,39,147,0,428,26,94,54,1048,0,45,1085,1071,14,77.9
59,59,1173861,9666,1,59,666,8,58,47,112,49,80,91,89,25,10,6,31,8,9,9,34,96417.0,80683700,179,148,96696.0,36905.0,43257.0,24402.0,393,S,60590636011,15000US060590636011,33.6484875,-117.9440313,G5030,Block Group 1,1722,6,1712314.1171875,7268.989400854109,63601,526,140,526,331,10,50,10,261,195,388090000.0,251090000.0,137000000.0,1905,81,21,31,107,70,32,134,76,22,8,897,47,7,46,0,50,12,1008,37,12,14,16,65,45,62,119,65,70,70,50,18,20,25,19,27,22,29,1,0,0,48.1,15.9,,37.6,,36.2,19.3,47.4,36.6,41.8,43.6,41.4,1905,1340,79,0,129,0,317,40,1905,666,1891,47,26,104,51,88,176,45,467,191,25,10,1530,74,9,1882,1815,67,74.5
60,60,411152,0,1,59,890,40,145,119,136,53,34,6,42,0,7,80,85,41,8,36,58,54362.0,68128700,86,31,50045.0,19493.0,22067.0,17721.0,848,S,60590638081,15000US060590638081,33.65676550000001,-117.9289293,G5030,Block Group 1,1723,6,594962.3203125,4350.21680313886,63808,126,764,126,88,0,0,0,88,38,,,,4083,141,225,127,172,188,155,129,89,43,14,2121,9,38,20,0,0,8,1962,111,28,47,66,172,74,125,236,122,82,90,6,11,10,11,52,0,8,19,127,86,14,28.3,,,54.5,19.4,25.0,25.5,42.2,26.3,27.4,28.2,26.7,4083,2264,0,17,91,127,1542,42,4083,890,4030,69,72,647,47,32,200,51,163,36,24,0,2855,83,374,3656,3241,415,70.75
61,61,324708,0,2,59,664,19,35,107,131,108,21,52,10,53,19,32,30,0,10,37,0,71607.0,51359400,131,82,79300.0,29079.0,35724.0,25933.0,390,S,60590638082,15000US060590638082,33.654331400000004,-117.9234419,G5030,Block Group 2,1724,6,469853.3671875,2912.03332017259,63808,318,346,318,196,0,13,0,183,122,152380000.0,109215000.0,43165000.0,1931,53,53,79,102,100,84,90,30,0,18,943,9,12,36,11,0,9,988,14,0,34,50,73,55,96,127,23,106,52,27,37,0,12,58,15,6,14,60,16,0,40.8,,20.7,30.5,,30.4,45.1,43.6,33.2,38.2,37.3,38.7,1931,1238,12,28,72,13,507,61,1931,664,1931,49,57,257,42,106,205,101,167,63,7,0,1561,58,41,1890,1720,170,70.75
62,62,946824,0,1,59,677,0,0,33,130,36,70,130,122,16,0,18,16,0,59,47,0,120208.0,88658800,168,107,135147.0,52396.0,65379.0,41496.0,562,S,60590639021,15000US060590639021,33.6840828,-117.9138241,G5030,Block Group 1,1725,6,1370998.1796875,4821.016662787321,63902,559,118,559,515,0,60,10,445,44,,,,2231,25,102,67,140,109,50,105,60,9,0,1044,0,15,76,17,3,0,1187,0,20,0,28,116,61,159,27,87,65,128,0,24,29,0,24,37,36,35,0,0,0,38.6,,,26.0,,59.4,59.5,39.2,59.3,35.8,37.5,35.5,2231,1512,0,0,572,0,89,58,2231,677,2219,25,27,275,21,138,328,128,429,112,69,0,1654,76,62,2157,2157,0,81.0
63,63,203799,0,2,59,762,26,34,162,138,38,29,0,12,63,38,0,46,62,12,63,39,52353.0,44644900,56,0,44152.0,35035.0,27328.0,36944.0,357,S,60590639022,15000US060590639022,33.6756026,-117.9169344,G5030,Block Group 2,1726,6,295042.26953125,2146.97082461495,63902,14,748,14,14,0,14,0,0,0,,,,1571,49,246,105,0,27,29,27,15,30,0,692,0,13,0,0,0,15,879,47,0,12,61,442,43,0,14,0,66,85,0,0,0,0,0,16,0,0,65,15,30,28.0,26.9,,27.1,,29.7,,27.9,29.5,27.9,28.3,27.7,1571,1230,65,0,164,0,101,11,1571,762,1571,0,0,97,0,44,236,151,426,125,48,0,1452,102,31,1540,1508,32,63.9
64,64,775763,0,1,59,541,37,13,60,50,99,58,55,23,10,8,7,20,34,29,14,24,87543.0,48860300,116,80,72540.0,30662.0,32670.0,22396.0,453,S,60590639031,15000US060590639031,33.68004620000001,-117.8996871,G5030,Block Group 1,1727,6,1123196.64453125,5493.870159273761,63903,243,298,243,157,8,7,0,142,86,137515000.0,92590000.0,44925000.0,1988,91,119,30,42,105,95,46,46,0,21,938,0,0,40,22,0,13,1050,10,12,42,68,98,30,62,69,113,64,54,21,20,22,30,18,36,23,9,20,14,0,33.3,,,26.1,25.8,22.4,58.8,55.1,25.3,32.4,29.1,36.5,1988,1269,0,23,497,85,96,18,1988,541,1988,20,79,295,35,16,318,68,151,64,26,0,1505,59,77,1911,1888,23,81.6
65,65,604461,0,2,59,548,18,28,16,117,59,36,60,149,30,0,9,0,13,0,13,0,113864.0,77410300,147,88,130063.0,51875.0,62652.0,35921.0,399,S,60590639032,15000US060590639032,33.6848629,-117.9021898,G5030,Block Group 2,1728,6,875273.12890625,3991.9943753164202,63903,459,89,459,359,16,40,0,303,100,328848000.0,265308000.0,63540000.0,1989,91,48,102,117,70,70,90,61,28,21,1089,5,11,7,12,14,9,900,6,16,2,59,16,154,85,37,110,18,46,8,29,6,54,34,29,6,49,16,38,4,35.1,62.2,3.9,39.6,,42.3,53.8,34.9,36.0,35.6,33.6,39.6,1989,1638,39,66,197,0,34,15,1989,548,1869,0,29,180,13,142,247,163,272,104,51,31,1578,79,49,1820,1805,8,80.3
66,66,580268,0,2,59,561,17,21,51,110,46,84,22,55,7,0,15,30,38,0,46,19,78068.0,63384700,155,72,76172.0,26493.0,46042.0,16016.0,409,S,60590639042,15000US060590639042,33.674841,-117.8928079,G5030,Block Group 2,1729,6,840044.1953125,4231.021517198621,63904,420,141,420,336,6,34,0,296,84,282597000.0,220897000.0,61700000.0,2047,71,22,152,104,6,65,86,30,16,59,1018,0,11,42,61,18,36,1029,27,44,19,54,19,101,94,20,71,98,31,26,16,0,10,42,6,9,93,12,0,6,35.1,,,36.7,,37.4,22.7,49.6,23.4,35.3,36.1,35.0,2047,1555,27,0,243,22,73,127,2047,561,1904,16,110,269,0,64,141,160,311,123,8,6,1577,106,42,1862,1742,120,84.3
67,67,513888,0,1,59,532,27,32,20,104,44,82,50,96,12,0,0,0,10,15,30,10,103750.0,65804100,68,63,101042.0,41866.0,54107.0,38969.0,407,S,60590639051,15000US060590639051,33.6655703,-117.9139178,G5030,Block Group 1,1730,6,743790.3671875,3783.59543925742,63905,366,166,366,296,0,88,0,208,70,253469000.0,205139000.0,48330000.0,1520,29,102,67,62,38,25,73,102,48,0,724,7,11,0,5,15,5,796,0,10,36,46,120,41,59,30,40,98,39,36,13,8,22,61,7,0,28,17,25,0,41.5,27.9,,32.4,,,9.4,44.6,27.0,38.5,35.9,39.4,1520,1193,41,0,160,32,11,83,1520,532,1483,8,0,251,34,82,190,79,401,72,0,18,1295,65,30,1453,1443,10,84.9
68,68,295853,0,2,59,538,24,50,69,87,68,80,0,33,0,41,26,0,0,32,21,7,74947.0,46941100,40,0,73750.0,45391.0,53164.0,,210,S,60590639052,15000US060590639052,33.6594019,-117.917129,G5030,Block Group 2,1731,6,428150.640625,2969.1761250897803,63905,54,484,54,54,0,0,0,54,0,34300000.0,34300000.0,,1001,25,69,160,12,40,19,25,25,18,0,501,0,11,0,21,0,0,500,10,0,0,76,59,83,24,30,43,62,62,10,0,12,0,0,7,0,0,36,13,0,32.5,,,39.9,,40.5,,34.3,27.8,34.2,34.1,35.0,1001,859,0,0,41,0,51,50,1001,538,1001,12,11,135,0,52,200,31,288,32,0,10,952,81,24,977,895,82,73.7
69,69,325623,0,1,59,890,72,36,104,178,116,30,64,33,76,14,0,11,0,93,63,0,66563.0,74482000,113,16,69444.0,31485.0,31869.0,27336.0,470,S,60590639061,15000US060590639061,33.654048,-117.9132833,G5030,Block Group 1,1732,6,471176.0703125,4130.307669091,63906,300,590,300,266,20,35,0,211,34,,,,2391,37,312,157,110,121,16,123,4,15,100,1405,8,18,31,4,0,5,986,0,0,0,22,148,194,80,48,92,123,72,4,37,0,18,8,4,16,13,18,0,30,31.8,,,41.1,,50.1,28.0,35.2,29.6,33.2,30.5,36.5,2391,1838,62,0,103,0,269,119,2391,890,2334,22,30,309,131,189,271,89,468,130,12,17,1988,104,98,2236,2120,32,70.6
70,70,111446,0,2,59,488,0,105,53,55,30,40,18,0,0,83,17,0,24,23,40,0,53357.0,29600200,51,33,53071.0,20943.0,32059.0,15673.0,254,S,60590639062,15000US060590639062,33.6553294,-117.91326,G5030,Block Group 2,1733,6,161266.4453125,1817.26177064177,63906,162,326,162,9,0,0,0,9,153,,,,1410,23,14,0,41,135,41,32,75,17,0,587,16,0,0,0,2,0,823,61,0,0,31,205,12,62,22,61,72,38,0,23,0,0,0,0,17,21,42,40,0,27.7,24.3,,,,28.0,,29.1,27.9,29.5,40.9,27.2,1410,727,36,10,45,0,592,0,1410,488,1397,77,38,254,74,40,45,16,160,21,0,13,1103,35,16,1381,1125,256,70.6
71,71,625083,0,3,59,931,44,10,143,161,131,91,42,14,80,0,0,29,60,77,0,49,70795.0,71901100,121,119,60814.0,32212.0,31538.0,38636.0,586,S,60590639063,15000US060590639063,33.660136,-117.9041334,G5030,Block Group 3,1734,6,904613.71875,4487.18419549531,63906,296,635,296,221,32,18,0,171,75,130352000.0,96657000.0,33695000.0,2370,25,77,227,77,83,106,69,14,0,25,1070,0,71,0,0,0,36,1300,146,40,33,65,151,109,120,47,89,66,78,25,98,19,22,18,0,0,17,53,60,10,35.4,,,41.7,,30.8,18.6,36.2,31.0,31.9,32.6,31.1,2370,1565,13,0,95,79,434,184,2370,931,2120,34,0,232,0,36,220,139,566,153,13,0,2076,85,236,1884,1846,38,82.3
72,72,835355,0,3,59,474,0,29,30,54,41,0,71,0,68,26,0,12,36,44,33,30,44000.0,29781700,103,0,34792.0,23793.0,,21513.0,213,S,60590639023,15000US060590639023,33.6713146,-117.9129663,G5030,Block Group 3,1804,6,1209237.2265625,4531.54036539093,63902,0,474,0,0,0,0,0,0,0,,,,1240,73,31,154,36,0,47,46,40,0,22,692,36,0,0,33,0,0,548,0,0,12,89,66,31,38,42,88,0,0,41,0,0,0,52,0,0,13,31,0,32,32.0,17.5,,,,,,48.0,30.4,30.7,30.6,34.0,1240,1004,185,0,26,0,12,13,1240,474,1240,0,0,321,17,0,263,0,113,13,0,0,1053,123,52,1188,903,185,60.1
73,73,426535,0,4,59,632,65,11,78,133,37,96,89,13,13,0,37,11,0,0,49,0,79153.0,58369900,89,83,79389.0,34906.0,48671.0,22076.0,370,S,60590639024,15000US060590639024,33.6781853,-117.9129197,G5030,Block Group 4,1805,6,617534.546875,3772.65363544421,63902,20,612,20,20,0,20,0,0,0,,,,1625,149,121,17,0,49,111,69,43,29,63,928,13,0,0,41,0,0,697,72,0,0,22,34,112,30,13,41,52,133,0,13,20,0,0,0,0,0,38,26,121,34.5,,,27.3,,,27.7,34.4,31.6,31.0,29.1,31.8,1625,1320,34,0,154,0,33,84,1625,632,1625,0,14,118,0,27,95,95,196,127,47,0,1432,14,109,1516,1360,156,63.9
74,74,548656,0,3,59,613,15,17,61,55,51,42,63,109,18,8,18,25,19,77,20,15,90417.0,64527400,299,205,95750.0,53594.0,55950.0,49018.0,371,S,60590639053,15000US060590639053,33.6600313,-117.9114501,G5030,Block Group 3,1807,6,794013.859375,3692.445286882029,63905,414,199,414,327,10,53,0,264,87,298903000.0,226478000.0,72425000.0,1637,45,48,127,29,9,40,11,45,11,48,749,29,50,37,16,9,38,888,29,0,0,13,48,84,6,50,8,54,69,39,70,33,26,23,10,63,105,15,9,0,55.1,64.6,,64.2,,31.2,9.4,54.4,32.0,45.6,33.6,54.7,1637,1195,34,0,113,0,97,198,1637,613,1601,14,0,176,25,24,232,112,418,120,14,12,1346,68,151,1450,1337,113,83.5
75,75,485396,0,4,59,934,22,150,117,242,171,58,10,12,40,0,0,54,0,0,35,23,77321.0,75275100,0,0,53793.0,56108.0,56155.0,54250.0,206,S,60590639084,15000US060590639084,33.6788131,-117.883348,G5030,Block Group 4,1813,6,702767.89453125,3831.7959808264295,63908,12,922,12,12,0,0,0,12,0,,,,1475,19,208,320,118,19,83,92,0,0,0,887,0,0,0,0,0,0,588,13,0,0,82,158,70,100,67,0,13,0,0,15,0,0,0,0,0,0,0,0,0,31.1,,,35.3,,,,30.7,34.0,31.5,32.3,27.7,1475,1093,28,0,282,0,45,27,1475,934,1475,0,9,147,16,99,310,70,454,137,12,0,1377,60,0,1475,1390,0,76.8
